date,ethnic wear,streetwear India,summer fashion 2025,boho style,minimalist outfit,kurta set trending,coquette aesthetic,cargo pants outfit,linen shirt women,oversized blazer outfit,old money style,capsule wardrobe,quiet luxury fashion,y2k fashion,airport outfit women,festive saree trends,indo western dress,maxi dress outfit,denim on denim,wedding guest outfit India,travel outfit women,monsoon fashion,gen z fashion trends,office wear women
2026-01-04,60,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,57,0,10,0,0,0,0,52
2026-01-05,61,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,15,0,0,0,0,46
2026-01-06,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,11,0,0,0,0,61
2026-01-07,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,8,0,0,0,0,41
2026-01-08,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,11,0,0,0,0,66
2026-01-09,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,11,0,0,0,0,50
2026-01-10,85,11,0,14,0,0,41,0,0,0,0,0,0,0,0,0,46,0,14,0,0,0,0,38
2026-01-11,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,45
2026-01-12,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,9,0,0,0,0,27
2026-01-13,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,14,0,0,0,0,40
2026-01-14,84,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,24,0,10,0,0,0,0,58
2026-01-15,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,14,0,0,0,0,52
2026-01-16,75,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,33,0,16,0,0,0,0,54
2026-01-17,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,25,0,0,0,0,62
2026-01-18,84,11,0,0,0,0,0,0,0,0,0,0,0,20,0,0,52,0,22,0,0,0,0,66
2026-01-19,63,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,19,0,0,0,0,62
2026-01-20,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,11,0,0,0,0,56
2026-01-21,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,15,0,0,0,0,46
2026-01-22,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,9,0,0,0,0,48
